Payer,Service,Age Group,Sex,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020
Private health Insurance,Home Health Care,65-84,Total,1191,1230,876,949,839,1220,1631,1919,2573,2839
Private health Insurance,Home Health Care,85+,Total,760,738,825,862,959,1371,1959,2338,2989,3015
Private health Insurance,Home Health Care,Total,Males,2867,2789,2381,2169,2152,3126,4225,5023,6344,7087
Private health Insurance,Home Health Care,0-18,Males,497,494,406,345,321,465,633,792,906,1092
Private health Insurance,Home Health Care,19-44,Males,606,603,512,450,424,651,901,1062,1418,1582
Private health Insurance,Home Health Care,45-64,Males,1150,1143,971,853,835,1105,1519,1756,2145,2368
Private health Insurance,Home Health Care,65-84,Males,392,328,241,245,259,439,490,586,801,927
Private health Insurance,Home Health Care,85+,Males,221,221,252,276,313,466,682,826,1075,1116
Private health Insurance,Home Health Care,Total,Females,3682,3750,3185,3028,2919,3931,5505,6484,8007,8464
Private health Insurance,Home Health Care,0-18,Females,350,348,295,259,233,321,438,551,621,745
Private health Insurance,Home Health Care,19-44,Females,637,633,538,473,462,644,889,1052,1256,1317
Private health Insurance,Home Health Care,45-64,Females,1356,1348,1145,1006,998,1281,1760,2037,2443,2590
Private health Insurance,Home Health Care,65-84,Females,799,903,635,704,580,781,1140,1333,1773,1912
Private health Insurance,Home Health Care,85+,Females,539,518,573,586,646,905,1278,1511,1914,1899
Total,Home Health Care,Total,Total,36465,44641,52052,62165,70525,78076,84670,93707,105552,125003
Total,Home Health Care,0-18,Total,3607,3938,4668,5798,6620,7629,8467,9895,10094,12891
Total,Home Health Care,19-44,Total,4161,4911,5222,6314,7687,9066,10023,10861,12234,14365
Total,Home Health Care,45-64,Total,7061,8552,9280,11123,12537,13952,15158,16753,18229,21792
Total,Home Health Care,65-84,Total,13493,17144,20091,25192,27467,29371,31102,34105,39537,48037
Total,Home Health Care,85+,Total,8143,10096,12792,13738,16214,18058,19920,22093,25458,27917
Total,Home Health Care,Total,Males,14223,16667,19270,23051,26543,30172,33078,37379,42602,52138
Total,Home Health Care,0-18,Males,2027,2173,2558,3163,3624,4178,4635,5535,5759,7278
Total,Home Health Care,19-44,Males,1919,2231,2266,2632,3319,3867,4323,4648,5668,6895
Total,Home Health Care,45-64,Males,3129,3642,4005,4773,5354,6201,6708,7820,8399,10146
Total,Home Health Care,65-84,Males,5067,6065,7178,8792,9834,10901,11736,13105,15477,19573
Total,Home Health Care,85+,Males,2080,2556,3263,3691,4413,5024,5677,6271,7300,8247
Total,Home Health Care,Total,Females,22242,27974,32782,39114,43982,47904,51593,56328,62950,72865
Total,Home Health Care,0-18,Females,1580,1765,2110,2635,2996,3450,3832,4360,4335,5613
Total,Home Health Care,19-44,Females,2242,2680,2956,3683,4369,5199,5700,6213,6567,7470
Total,Home Health Care,45-64,Females,3931,4910,5274,6350,7183,7751,8451,8933,9830,11646
Total,Home Health Care,65-84,Females,8426,11079,12913,16400,17633,18470,19366,21000,24060,28465
Total,Home Health Care,85+,Females,6063,7540,9529,10046,11802,13035,14243,15822,18158,19671
Medicaid,Hospital Care,Total,Total,84466,96807,108904,122938,142170,150635,171744,190070,197854,221377
Medicaid,Hospital Care,0-18,Total,27713,32083,38198,42718,47758,49152,48980,48015,51771,55421
Medicaid,Hospital Care,19-44,Total,26449,30398,33414,36936,43679,46377,56531,65769,67185,76913
Medicaid,Hospital Care,45-64,Total,17605,21175,24182,28186,33618,37207,47975,57965,58667,64898
Medicaid,Hospital Care,65-84,Total,8926,9219,9094,10531,11783,12438,13394,14134,15763,19786
Medicaid,Hospital Care,85+,Total,3772,3932,4015,4566,5332,5461,4863,4187,4468,4360
Medicaid,Hospital Care,Total,Males,34207,39472,44795,51184,59938,64094,75527,85736,90182,102396
Medicaid,Hospital Care,0-18,Males,14614,16940,20027,22606,25313,26146,26277,25983,27752,30019
Medicaid,Hospital Care,19-44,Males,7915,8938,9520,10730,13348,14593,19552,24195,25587,30560
Medicaid,Hospital Care,45-64,Males,7926,9700,11241,13165,15944,17694,23547,29019,29463,32537
Medicaid,Hospital Care,65-84,Males,3069,3187,3263,3818,4312,4579,5083,5505,6258,7912
Medicaid,Hospital Care,85+,Males,683,707,743,866,1021,1082,1067,1033,1121,1367
Medicaid,Hospital Care,Total,Females,50259,57335,64109,71753,82232,86541,96217,104333,107673,118981
Medicaid,Hospital Care,0-18,Females,13099,15142,18171,20112,22445,23006,22703,22032,24018,25402
Medicaid,Hospital Care,19-44,Females,18535,21460,23894,26206,30331,31785,36979,41574,41598,46352
Medicaid,Hospital Care,45-64,Females,9679,11475,12941,15021,17675,19513,24428,28946,29204,32360
Medicaid,Hospital Care,65-84,Females,5857,6032,5831,6713,7470,7858,8311,8629,9505,11874
Medicaid,Hospital Care,85+,Females,3089,3225,3272,3701,4311,4379,3797,3153,3347,2993
Medicare,Hospital Care,Total,Total,143680,162883,184931,205900,220763,237963,253439,274094,300556,321074
Medicare,Hospital Care,0-18,Total,52,59,76,85,82,88,83,78,78,75
Medicare,Hospital Care,19-44,Total,5673,6506,7523,8145,8874,9659,10222,10205,10230,9969
Medicare,Hospital Care,45-64,Total,16480,20572,25640,30067,34425,38602,41939,44592,46341,45927
Medicare,Hospital Care,65-84,Total,99860,111468,122828,134778,142034,152051,162177,178362,200587,220581
Medicare,Hospital Care,85+,Total,21615,24279,28865,32825,35349,37563,39017,40856,43320,44521
Medicare,Hospital Care,Total,Males,65500,74237,84680,94685,101878,110379,118193,128994,142280,153201
Medicare,Hospital Care,0-18,Males,26,29,39,44,44,49,46,44,49,49
Medicare,Hospital Care,19-44,Males,3147,3523,3988,4202,4495,4823,5051,5007,5067,4966
Medicare,Hospital Care,45-64,Males,8697,10720,13355,15477,17568,19730,21433,22715,23611,23377
Medicare,Hospital Care,65-84,Males,46451,51787,57367,63259,66968,71922,76924,85442,96563,107050
Medicare,Hospital Care,85+,Males,7179,8178,9931,11703,12803,13854,14739,15786,16992,17758
Medicare,Hospital Care,Total,Females,78180,88646,100251,111216,118886,127584,135246,145100,158276,167873
Medicare,Hospital Care,0-18,Females,26,29,37,41,38,39,37,34,30,26
Medicare,Hospital Care,19-44,Females,2525,2982,3534,3943,4379,4835,5171,5199,5163,5003
Medicare,Hospital Care,45-64,Females,7784,9851,12285,14590,16857,18872,20506,21877,22731,22550
Medicare,Hospital Care,65-84,Females,53409,59681,65461,71519,75066,80129,85252,92920,104024,113531
Medicare,Hospital Care,85+,Females,14436,16102,18934,21123,22547,23709,24279,25070,26329,26763
Other Payers and Programs,Hospital Care,Total,Total,77318,91430,104760,112139,134433,145852,158409,166797,181774,288681
Other Payers and Programs,Hospital Care,0-18,Total,12000,15620,17165,17499,19759,22645,23573,19268,13699,20553
Other Payers and Programs,Hospital Care,19-44,Total,24207,27737,31386,32505,40166,41676,44729,46995,56187,87251
Other Payers and Programs,Hospital Care,45-64,Total,26124,29286,36174,42777,51148,54819,60880,64720,66374,106934
Other Payers and Programs,Hospital Care,65-84,Total,12336,15785,16576,15716,19251,22228,24438,30108,38587,65037
Other Payers and Programs,Hospital Care,85+,Total,2652,3003,3459,3641,4108,4485,4788,5706,6928,8907
Other Payers and Programs,Hospital Care,Total,Males,40955,47752,54739,58991,72403,79297,84813,90633,97254,164815
Other Payers and Programs,Hospital Care,0-18,Males,6326,8298,9273,9246,11440,11777,12246,10346,7630,12015
Other Payers and Programs,Hospital Care,19-44,Males,10514,11792,12733,13444,16993,17385,19007,22620,23594,35404
Other Payers and Programs,Hospital Care,45-64,Males,15836,17553,21855,25552,30543,35129,37121,36150,38507,66788
Other Payers and Programs,Hospital Care,65-84,Males,7511,9264,9788,9512,11975,13350,14642,19193,24683,45244
Other Payers and Programs,Hospital Care,85+,Males,768,845,1090,1237,1451,1656,1798,2323,2840,5364
Other Payers and Programs,Hospital Care,Total,Females,36363,43678,50022,53148,62030,66555,73596,76164,84520,123866
Other Payers and Programs,Hospital Care,0-18,Females,5674,7322,7892,8254,8319,10868,11328,8922,6068,8538
Other Payers and Programs,Hospital Care,19-44,Females,13693,15944,18653,19061,23173,24290,25723,24375,32593,51847
Other Payers and Programs,Hospital Care,45-64,Females,10287,11734,14319,17225,20605,19690,23759,28570,27867,40146
Other Payers and Programs,Hospital Care,65-84,Females,4825,6521,6788,6205,7276,8878,9796,10915,13903,19792
Other Payers and Programs,Hospital Care,85+,Females,1884,2157,2369,2404,2656,2829,2991,3383,4088,3543
Out-of-Pocket,Hospital Care,Total,Total,15169,18159,20920,23059,27001,30965,32433,31579,34295,32372
Out-of-Pocket,Hospital Care,0-18,Total,1821,2294,2799,2970,3435,4057,3975,3584,3237,3230
Out-of-Pocket,Hospital Care,19-44,Total,4456,5430,6342,6919,7957,9562,10134,9367,11367,10361
Out-of-Pocket,Hospital Care,45-64,Total,5278,6184,6792,7364,8768,9592,9732,11691,12734,12873
Out-of-Pocket,Hospital Care,65-84,Total,3113,3636,4301,4987,5860,6602,7362,5987,5543,4525
Out-of-Pocket,Hospital Care,85+,Total,501,615,686,818,981,1152,1230,951,1414,1382
Out-of-Pocket,Hospital Care,Total,Males,6253,7681,8918,9740,11333,12824,13453,13581,14849,15733
Out-of-Pocket,Hospital Care,0-18,Males,971,1207,1492,1560,1808,2126,2068,2030,1990,1942
Out-of-Pocket,Hospital Care,19-44,Males,1322,1660,1976,2131,2389,2887,3075,2641,2997,3269
Out-of-Pocket,Hospital Care,45-64,Males,2278,2822,3121,3379,3941,4319,4345,5613,6559,7076
Out-of-Pocket,Hospital Care,65-84,Males,1503,1776,2078,2371,2831,3044,3474,2844,2649,2623
Out-of-Pocket,Hospital Care,85+,Males,179,216,251,299,362,446,491,453,655,823
Out-of-Pocket,Hospital Care,Total,Females,8916,10478,12002,13319,15668,18141,18980,17998,19446,16639
Out-of-Pocket,Hospital Care,0-18,Females,850,1087,1306,1410,1626,1930,1907,1554,1248,1288
Out-of-Pocket,Hospital Care,19-44,Females,3134,3770,4367,4788,5567,6675,7059,6726,8369,7092
Out-of-Pocket,Hospital Care,45-64,Females,2999,3362,3671,3985,4827,5272,5387,6077,6175,5797
Out-of-Pocket,Hospital Care,65-84,Females,1610,1860,2223,2616,3029,3558,3888,3143,2895,1903
Out-of-Pocket,Hospital Care,85+,Females,322,399,435,519,619,706,738,498,759,559
Private health Insurance,Hospital Care,Total,Total,165850,196047,231694,257595,284428,312553,324502,372858,408178,404329
Private health Insurance,Hospital Care,0-18,Total,26588,31305,36078,35289,41843,39925,37860,40091,39098,38726
Private health Insurance,Hospital Care,19-44,Total,58923,64072,70592,75694,83311,87382,92379,117921,132624,117340
Private health Insurance,Hospital Care,45-64,Total,60649,75417,98581,116499,124750,146533,157538,171611,186641,194204
Private health Insurance,Hospital Care,65-84,Total,17013,21747,22631,26286,30071,33472,30951,39523,44204,48224
Private health Insurance,Hospital Care,85+,Total,2677,3507,3812,3827,4453,5240,5773,3711,5611,5835
Private health Insurance,Hospital Care,Total,Males,79116,89439,108542,116165,135659,146430,151103,160513,181182,192778
Private health Insurance,Hospital Care,0-18,Males,13518,15117,20179,20229,22400,21010,19783,21051,20517,20238
Private health Insurance,Hospital Care,19-44,Males,21605,22152,23874,23630,27602,28638,30408,34720,36024,36643
Private health Insurance,Hospital Care,45-64,Males,34613,39649,49224,57031,66246,76421,83096,82157,99083,107271
Private health Insurance,Hospital Care,65-84,Males,8395,11440,13997,13907,17384,18501,15718,20867,23401,25633
Private health Insurance,Hospital Care,85+,Males,984,1081,1269,1368,2027,1860,2098,1718,2158,2992
Private health Insurance,Hospital Care,Total,Females,86734,106609,123152,141430,148768,166123,173399,212346,226996,211551
Private health Insurance,Hospital Care,0-18,Females,13070,16188,15899,15060,19443,18915,18077,19040,18582,18489
Private health Insurance,Hospital Care,19-44,Females,37317,41919,46718,52064,55709,58745,61971,83202,96600,80696
Private health Insurance,Hospital Care,45-64,Females,26036,35768,49358,59468,58504,70112,74443,89455,87558,86933
Private health Insurance,Hospital Care,65-84,Females,8618,10307,8634,12379,12687,14971,15233,18655,20803,22591
Private health Insurance,Hospital Care,85+,Females,1693,2426,2544,2459,2426,3380,3675,1994,3453,2842
Total,Hospital Care,Total,Total,486482,565327,651209,721630,808795,877968,940526,1035398,1122658,1267833
Total,Hospital Care,0-18,Total,68173,81360,94315,98562,112877,115867,114472,111037,107883,118006
Total,Hospital Care,19-44,Total,119708,134142,149258,160200,183986,194656,213995,250257,277593,301833
Total,Hospital Care,45-64,Total,126136,152633,191369,224893,252710,286752,318064,350579,370757,424835
Total,Hospital Care,65-84,Total,141249,161856,175430,192298,208999,226792,238322,268114,304684,358153
Total,Hospital Care,85+,Total,31216,35336,40838,45678,50223,53901,55672,55411,61741,65005
Total,Hospital Care,Total,Males,226031,258581,301674,330764,381210,413024,443089,479457,525748,628922
Total,Hospital Care,0-18,Males,35454,41592,51011,53684,61006,61109,60421,59455,57938,64263
Total,Hospital Care,19-44,Males,44503,48066,52091,54138,64827,68326,77093,89183,93269,110842
Total,Hospital Care,45-64,Males,69351,80443,98796,114604,134242,153293,169541,175654,197221,237050
Total,Hospital Care,65-84,Males,66930,77453,86493,92866,103471,111397,115841,133852,153554,188462
Total,Hospital Care,85+,Males,9793,11027,13284,15472,17665,18899,20193,21313,23766,28305
Total,Hospital Care,Total,Females,260451,306745,349535,390866,427584,464944,497438,555940,596910,638911
Total,Hospital Care,0-18,Females,32719,39768,43305,44878,51871,54758,54051,51582,49946,53743
Total,Hospital Care,19-44,Females,75204,86076,97166,106062,119159,126330,136902,161074,184324,190991
Total,Hospital Care,45-64,Females,56785,72190,92573,110289,118468,133459,148523,174925,173535,187785
Total,Hospital Care,65-84,Females,74319,84402,88938,99432,105528,115394,122481,134262,151130,169691
Total,Hospital Care,85+,Females,21424,24309,27553,30205,32558,35003,35480,34098,37976,36701
Medicaid,Nursing Care Facilities and Continuing Care Retirement Communities,Total,Total,35561,39760,41563,44039,46335,47728,49246,50675,51497,53492
Medicaid,Nursing Care Facilities and Continuing Care Retirement Communities,0-18,Total,321,390,445,493,593,671,766,537,547,578
Medicaid,Nursing Care Facilities and Continuing Care Retirement Communities,19-44,Total,1440,1574,1613,1610,1671,1680,1982,1947,1987,2101
Medicaid,Nursing Care Facilities and Continuing Care Retirement Communities,45-64,Total,4396,5495,6288,7110,7946,8302,9042,9502,9885,10472
Medicaid,Nursing Care Facilities and Continuing Care Retirement Communities,65-84,Total,15177,16823,17158,17995,18480,19091,19706,20926,22019,23944
Medicaid,Nursing Care Facilities and Continuing Care Retirement Communities,85+,Total,14228,15478,16059,16831,17645,17983,17749,17763,17059,16397
Medicaid,Nursing Care Facilities and Continuing Care Retirement Communities,Total,Males,10519,12047,12962,14087,15217,15968,17014,18233,19082,20306
Medicaid,Nursing Care Facilities and Continuing Care Retirement Communities,0-18,Males,188,222,245,274,327,371,427,304,318,325
Medicaid,Nursing Care Facilities and Continuing Care Retirement Communities,19-44,Males,849,916,926,922,938,927,1096,1172,1198,1285
Medicaid,Nursing Care Facilities and Continuing Care Retirement Communities,45-64,Males,2278,2872,3309,3770,4248,4457,4910,5233,5470,5862
Medicaid,Nursing Care Facilities and Continuing Care Retirement Communities,65-84,Males,4966,5581,5863,6316,6703,7089,7438,8289,8957,9884
Medicaid,Nursing Care Facilities and Continuing Care Retirement Communities,85+,Males,2238,2455,2619,2805,3000,3124,3143,3235,3139,2950
Medicaid,Nursing Care Facilities and Continuing Care Retirement Communities,Total,Females,25042,27713,28601,29952,31118,31760,32232,32442,32415,33186
Medicaid,Nursing Care Facilities and Continuing Care Retirement Communities,0-18,Females,132,168,200,219,266,300,339,233,229,253
Medicaid,Nursing Care Facilities and Continuing Care Retirement Communities,19-44,Females,591,658,687,688,733,753,887,775,789,816
Medicaid,Nursing Care Facilities and Continuing Care Retirement Communities,45-64,Females,2118,2623,2979,3340,3698,3845,4132,4269,4415,4610
Medicaid,Nursing Care Facilities and Continuing Care Retirement Communities,65-84,Females,10210,11241,11295,11679,11777,12002,12268,12637,13062,14060
Medicaid,Nursing Care Facilities and Continuing Care Retirement Communities,85+,Females,11990,13023,13440,14026,14644,14859,14606,14528,13920,13447
Medicare,Nursing Care Facilities and Continuing Care Retirement Communities,Total,Total,15026,18260,22378,27606,32289,33883,35492,37006,37618,39832
Medicare,Nursing Care Facilities and Continuing Care Retirement Communities,0-18,Total,0,0,0,0,0,0,0,0,0,0
Medicare,Nursing Care Facilities and Continuing Care Retirement Communities,19-44,Total,117,145,209,237,278,313,340,354,359,418
Medicare,Nursing Care Facilities and Continuing Care Retirement Communities,45-64,Total,770,1066,1526,2058,2696,3101,3498,3780,3849,4298
Medicare,Nursing Care Facilities and Continuing Care Retirement Communities,65-84,Total,8850,10644,12784,15540,18002,18956,20054,21294,22178,23937
Medicare,Nursing Care Facilities and Continuing Care Retirement Communities,85+,Total,5289,6405,7858,9770,11313,11514,11600,11579,11232,11180
Medicare,Nursing Care Facilities and Continuing Care Retirement Communities,Total,Males,5090,6237,7842,9885,11885,12832,13801,14782,15393,16485
Medicare,Nursing Care Facilities and Continuing Care Retirement Communities,0-18,Males,0,0,0,0,0,0,0,0,0,0
Medicare,Nursing Care Facilities and Continuing Care Retirement Communities,19-44,Males,70,84,120,133,153,168,176,180,181,218
Medicare,Nursing Care Facilities and Continuing Care Retirement Communities,45-64,Males,389,537,768,1030,1353,1572,1782,1929,1965,2241
Medicare,Nursing Care Facilities and Continuing Care Retirement Communities,65-84,Males,3284,3957,4838,6009,7152,7707,8288,9038,9632,10623
Medicare,Nursing Care Facilities and Continuing Care Retirement Communities,85+,Males,1347,1659,2116,2713,3226,3385,3556,3636,3614,3404
Medicare,Nursing Care Facilities and Continuing Care Retirement Communities,Total,Females,9936,12024,14535,17720,20404,21052,21692,22224,22225,23346
Medicare,Nursing Care Facilities and Continuing Care Retirement Communities,0-18,Females,0,0,0,0,0,0,0,0,0,0
Medicare,Nursing Care Facilities and Continuing Care Retirement Communities,19-44,Females,47,61,89,104,125,145,165,174,178,200
Medicare,Nursing Care Facilities and Continuing Care Retirement Communities,45-64,Females,381,530,758,1028,1343,1529,1716,1852,1883,2057
Medicare,Nursing Care Facilities and Continuing Care Retirement Communities,65-84,Females,5566,6687,7946,9531,10850,11249,11766,12255,12546,13314
Medicare,Nursing Care Facilities and Continuing Care Retirement Communities,85+,Females,3942,4747,5742,7057,8086,8129,8044,7943,7618,7776
Other Payers and Programs,Nursing Care Facilities and Continuing Care Retirement Communities,Total,Total,8266,9447,10783,12434,14111,15434,16459,17250,19655,41369
Other Payers and Programs,Nursing Care Facilities and Continuing Care Retirement Communities,0-18,Total,53,63,71,69,81,106,128,133,198,384
Other Payers and Programs,Nursing Care Facilities and Continuing Care Retirement Communities,19-44,Total,197,244,236,261,289,314,400,460,451,1087
Other Payers and Programs,Nursing Care Facilities and Continuing Care Retirement Communities,45-64,Total,908,1110,1403,1669,1998,2245,2538,2913,3033,6470
Other Payers and Programs,Nursing Care Facilities and Continuing Care Retirement Communities,65-84,Total,3789,4022,4626,5445,6057,6487,6676,7474,9587,21116
Other Payers and Programs,Nursing Care Facilities and Continuing Care Retirement Communities,85+,Total,3319,4007,4447,4990,5686,6282,6716,6270,6386,12312
Other Payers and Programs,Nursing Care Facilities and Continuing Care Retirement Communities,Total,Males,2561,2989,3516,4172,4876,5460,5990,7164,7611,16313
Other Payers and Programs,Nursing Care Facilities and Continuing Care Retirement Communities,0-18,Males,33,38,33,39,45,63,64,55,73,116
Other Payers and Programs,Nursing Care Facilities and Continuing Care Retirement Communities,19-44,Males,120,139,133,147,160,169,200,238,232,552
Other Payers and Programs,Nursing Care Facilities and Continuing Care Retirement Communities,45-64,Males,469,581,740,879,1056,1189,1380,1630,1722,3745
Other Payers and Programs,Nursing Care Facilities and Continuing Care Retirement Communities,65-84,Males,1285,1436,1775,1993,2288,2591,2727,3511,3762,8722
Other Payers and Programs,Nursing Care Facilities and Continuing Care Retirement Communities,85+,Males,654,795,836,1114,1327,1447,1619,1730,1822,3178
Other Payers and Programs,Nursing Care Facilities and Continuing Care Retirement Communities,Total,Females,5705,6458,7267,8262,9236,9975,10469,10086,12044,25056
Other Payers and Programs,Nursing Care Facilities and Continuing Care Retirement Communities,0-18,Females,20,25,39,30,36,43,64,78,125,268
Other Payers and Programs,Nursing Care Facilities and Continuing Care Retirement Communities,19-44,Females,77,105,103,114,128,144,200,223,220,535
Other Payers and Programs,Nursing Care Facilities and Continuing Care Retirement Communities,45-64,Females,439,529,663,790,942,1056,1157,1283,1311,2725
Other Payers and Programs,Nursing Care Facilities and Continuing Care Retirement Communities,65-84,Females,2504,2586,2851,3452,3769,3896,3950,3962,5825,12395
Other Payers and Programs,Nursing Care Facilities and Continuing Care Retirement Communities,85+,Females,2665,3212,3611,3876,4360,4835,5097,4540,4564,9134
Out-of-Pocket,Nursing Care Facilities and Continuing Care Retirement Communities,Total,Total,27745,31045,33359,37153,37097,38773,39276,43143,43557,45545
Out-of-Pocket,Nursing Care Facilities and Continuing Care Retirement Communities,0-18,Total,101,131,97,98,76,118,89,120,123,125
Out-of-Pocket,Nursing Care Facilities and Continuing Care Retirement Communities,19-44,Total,363,567,327,458,437,447,582,710,690,829
Out-of-Pocket,Nursing Care Facilities and Continuing Care Retirement Communities,45-64,Total,3399,3984,4768,5412,5411,5585,5312,5369,5210,5413
Out-of-Pocket,Nursing Care Facilities and Continuing Care Retirement Communities,65-84,Total,11256,11116,12699,13936,14089,14774,14905,16791,17182,19600
Out-of-Pocket,Nursing Care Facilities and Continuing Care Retirement Communities,85+,Total,12626,15247,15468,17249,17083,17848,18388,20152,20351,19578
Out-of-Pocket,Nursing Care Facilities and Continuing Care Retirement Communities,Total,Males,8561,9872,10715,12431,12712,13388,13692,14674,14854,15787
Out-of-Pocket,Nursing Care Facilities and Continuing Care Retirement Communities,0-18,Males,62,83,44,60,40,81,25,92,91,79
Out-of-Pocket,Nursing Care Facilities and Continuing Care Retirement Communities,19-44,Males,252,317,156,233,223,226,196,308,306,373
Out-of-Pocket,Nursing Care Facilities and Continuing Care Retirement Communities,45-64,Males,1755,2100,2565,2885,2891,2971,3033,2982,2815,2777
Out-of-Pocket,Nursing Care Facilities and Continuing Care Retirement Communities,65-84,Males,3754,3977,5086,5299,5289,5578,5710,6216,5767,6702
Out-of-Pocket,Nursing Care Facilities and Continuing Care Retirement Communities,85+,Males,2738,3394,2864,3954,4269,4533,4727,5076,5876,5856
Out-of-Pocket,Nursing Care Facilities and Continuing Care Retirement Communities,Total,Females,19184,21173,22644,24721,24385,25385,25584,28469,28703,29758
Out-of-Pocket,Nursing Care Facilities and Continuing Care Retirement Communities,0-18,Females,39,47,53,38,36,37,64,28,32,46
Out-of-Pocket,Nursing Care Facilities and Continuing Care Retirement Communities,19-44,Females,110,249,171,224,214,222,385,402,385,456
Out-of-Pocket,Nursing Care Facilities and Continuing Care Retirement Communities,45-64,Females,1645,1884,2203,2527,2520,2615,2279,2387,2396,2636
Out-of-Pocket,Nursing Care Facilities and Continuing Care Retirement Communities,65-84,Females,7503,7139,7613,8637,8801,9196,9195,10576,11416,12899
Out-of-Pocket,Nursing Care Facilities and Continuing Care Retirement Communities,85+,Females,9888,11853,12604,13295,12814,13315,13661,15077,14475,13722
Private health Insurance,Nursing Care Facilities and Continuing Care Retirement Communities,Total,Total,7902,6561,7815,9188,10619,11523,12077,13879,15337,16652
Private health Insurance,Nursing Care Facilities and Continuing Care Retirement Communities,0-18,Total,50,43,27,31,27,49,29,33,47,72
Private health Insurance,Nursing Care Facilities and Continuing Care Retirement Communities,19-44,Total,144,189,146,170,171,177,185,1117,1132,1237
Private health Insurance,Nursing Care Facilities and Continuing Care Retirement Communities,45-64,Total,1001,748,1059,1274,1582,1573,1720,1757,1818,2004
Private health Insurance,Nursing Care Facilities and Continuing Care Retirement Communities,65-84,Total,4025,3171,3731,4134,4753,4971,5554,5132,5325,5812
Private health Insurance,Nursing Care Facilities and Continuing Care Retirement Communities,85+,Total,2682,2410,2852,3579,4085,4753,4589,5839,7016,7527
Private health Insurance,Nursing Care Facilities and Continuing Care Retirement Communities,Total,Males,1968,2067,2543,3074,3660,3795,4067,4400,4736,5371
Private health Insurance,Nursing Care Facilities and Continuing Care Retirement Communities,0-18,Males,32,30,15,19,17,29,20,23,31,25
Private health Insurance,Nursing Care Facilities and Continuing Care Retirement Communities,19-44,Males,91,93,91,102,105,98,114,134,144,141
Private health Insurance,Nursing Care Facilities and Continuing Care Retirement Communities,45-64,Males,517,401,550,665,826,831,905,838,826,888
Private health Insurance,Nursing Care Facilities and Continuing Care Retirement Communities,65-84,Males,875,951,1349,1175,1528,1647,1845,1617,1871,2148
Private health Insurance,Nursing Care Facilities and Continuing Care Retirement Communities,85+,Males,453,593,537,1114,1184,1190,1184,1787,1864,2169
Private health Insurance,Nursing Care Facilities and Continuing Care Retirement Communities,Total,Females,5934,4493,5272,6114,6958,7728,8010,9479,10601,11280
Private health Insurance,Nursing Care Facilities and Continuing Care Retirement Communities,0-18,Females,18,13,12,12,10,19,9,10,16,46
Private health Insurance,Nursing Care Facilities and Continuing Care Retirement Communities,19-44,Females,53,96,55,68,66,79,71,983,988,1096
Private health Insurance,Nursing Care Facilities and Continuing Care Retirement Communities,45-64,Females,485,347,509,609,756,742,815,919,992,1116
Private health Insurance,Nursing Care Facilities and Continuing Care Retirement Communities,65-84,Females,3150,2220,2381,2959,3224,3324,3709,3514,3455,3664
Private health Insurance,Nursing Care Facilities and Continuing Care Retirement Communities,85+,Females,2229,1817,2315,2465,2901,3563,3405,4052,5151,5359
Total,Nursing Care Facilities and Continuing Care Retirement Communities,Total,Total,94500,105073,115897,130419,140451,147341,152551,161954,167664,196890
Total,Nursing Care Facilities and Continuing Care Retirement Communities,0-18,Total,524,626,640,691,778,943,1012,824,915,1159
Total,Nursing Care Facilities and Continuing Care Retirement Communities,19-44,Total,2260,2719,2532,2736,2846,2931,3490,4589,4620,5672
Total,Nursing Care Facilities and Continuing Care Retirement Communities,45-64,Total,10475,12404,15043,17523,19633,20807,22110,23321,23794,28656
Total,Nursing Care Facilities and Continuing Care Retirement Communities,65-84,Total,43098,45775,50997,57050,61382,64279,66896,71616,76291,94409
Total,Nursing Care Facilities and Continuing Care Retirement Communities,85+,Total,38144,43548,46685,52419,55812,58380,59042,61603,62044,66994
Total,Nursing Care Facilities and Continuing Care Retirement Communities,Total,Males,28699,33211,37578,43650,48351,51442,54564,59253,61675,74262
Total,Nursing Care Facilities and Continuing Care Retirement Communities,0-18,Males,316,374,336,392,430,543,536,475,513,546
Total,Nursing Care Facilities and Continuing Care Retirement Communities,19-44,Males,1382,1550,1426,1537,1580,1587,1782,2031,2060,2569
Total,Nursing Care Facilities and Continuing Care Retirement Communities,45-64,Males,5407,6490,7931,9229,10374,11021,12010,12611,12798,15512
Total,Nursing Care Facilities and Continuing Care Retirement Communities,65-84,Males,14164,15902,18911,20793,22960,24612,26008,28672,29989,38078
Total,Nursing Care Facilities and Continuing Care Retirement Communities,85+,Males,7430,8896,8973,11699,13007,13679,14228,15464,16316,17557
Total,Nursing Care Facilities and Continuing Care Retirement Communities,Total,Females,65802,71861,78319,86769,92101,95899,97986,102701,105988,122627
Total,Nursing Care Facilities and Continuing Care Retirement Communities,0-18,Females,208,253,304,299,348,400,476,349,402,613
Total,Nursing Care Facilities and Continuing Care Retirement Communities,19-44,Females,878,1169,1106,1199,1267,1344,1708,2558,2559,3102
Total,Nursing Care Facilities and Continuing Care Retirement Communities,45-64,Females,5068,5914,7112,8294,9259,9786,10100,10710,10996,13144
Total,Nursing Care Facilities and Continuing Care Retirement Communities,65-84,Females,28934,29873,32086,36257,38421,39667,40888,42944,46303,56331
